,city,country,lat,lon,temp,temp_max,humidity,wind_speed,cloudiness,date
72,Havelock,US,34.8791,-76.9013,39.88,43.0,44,8.05,1,1611505069
73,Ushuaia,AR,-54.8,-68.3,64.4,64.4,34,19.57,40,1611504973
74,Mount Isa,AU,-20.7333,139.5,78.8,78.8,53,2.3,100,1611505069
75,Fortuna,US,40.5982,-124.1573,42.84,44.01,100,5.48,75,1611505069
76,Upernavik,GL,72.7868,-56.1549,16.29,16.29,92,14.5,0,1611505070
77,Poum,NC,-20.2333,164.0167,80.29,80.29,80,14.34,85,1611505070
78,Guerrero Negro,MX,27.9769,-114.0611,58.78,58.78,57,12.71,6,1611505070
79,Mangai,CD,-4.05,19.5333,74.16,74.16,90,2.01,99,1611505070
80,Abnūb,EG,27.2696,31.1511,59.0,59.0,55,11.5,0,1611505070
81,Llanelli,GB,51.682,-4.1619,36.84,37.4,93,13.8,75,1611505071
82,Laas,IT,46.6166,10.7002,34.2,39.2,65,2.3,0,1611505071
83,Kapaa,US,22.0752,-159.319,73.18,73.4,88,19.57,40,1611505071
84,Tasiilaq,GL,65.6145,-37.6368,10.4,10.4,56,2.3,0,1611505071
85,Half Moon Bay,US,37.4636,-122.4286,48.13,51.01,76,9.22,90,1611505071
86,Nuquí,CO,5.7125,-77.2708,81.79,81.79,77,1.86,54,1611505071
87,Sitka,US,57.0531,-135.33,33.8,33.8,93,8.05,20,1611505072
88,Arraial do Cabo,BR,-22.9661,-42.0278,83.91,86.0,69,20.71,75,1611505072
89,Cape Town,ZA,-33.9258,18.4232,71.31,73.0,49,27.63,0,1611504792
90,Bealanana,MG,-14.55,48.7333,68.97,68.97,86,1.81,86,1611505072
91,Brae,GB,60.3964,-1.353,37.4,37.4,87,17.27,40,1611505072
92,Ushtobe,KZ,45.2514,77.9838,6.96,6.96,95,3.24,100,1611505073
93,Lavrentiya,RU,65.5833,-171.0,0.18,0.18,84,4.79,100,1611505073
94,Riyadh,SA,24.6877,46.7219,63.05,64.4,13,5.75,0,1611505073
95,Saint Paul Harbor,US,57.79,-152.4072,35.6,35.6,55,31.07,1,1611505073
96,Matara,LK,5.9485,80.5353,75.81,75.81,83,9.75,100,1611505074
97,Manaus,BR,-3.1019,-60.025,84.2,84.2,70,9.22,40,1611505074
98,Omsukchan,RU,62.5333,155.8,-35.18,-35.18,79,4.76,100,1611505074
99,Tuatapere,NZ,-46.1333,167.6833,57.0,57.0,89,11.01,73,1611505074
100,Hermanus,ZA,-34.4187,19.2345,71.01,71.01,57,10.0,8,1611505074
101,Malanje,AO,-9.5402,16.341,75.25,75.25,80,4.52,34,1611505075
102,Hong Kong,HK,22.2855,114.1577,61.92,64.0,86,3.0,73,1611504855
103,Souillac,MU,-20.5167,57.5167,80.6,80.6,78,3.44,40,1611505075
104,Ayan,RU,56.45,138.1667,-24.93,-24.93,71,16.55,95,1611505075
105,Airai,TL,-8.9266,125.4092,61.57,61.57,100,2.21,100,1611505075
106,Tanete,ID,-3.9443,119.7848,77.27,77.27,82,2.55,100,1611505076
107,Katsuura,JP,35.1333,140.3,44.28,44.6,87,14.97,75,1611505076
108,Vardø,NO,70.3705,31.1107,23.0,23.0,93,19.57,75,1611505076
109,Logroño,ES,42.4667,-2.45,53.6,53.6,50,19.57,0,1611505013
110,Mount Gambier,AU,-37.8333,140.7667,71.6,71.6,49,4.61,51,1611505076
111,Auki,SB,-8.7676,160.7034,76.3,76.3,76,3.02,57,1611504912
112,Zhangjiakou,CN,40.81,114.8794,25.95,25.95,82,2.51,61,1611505077
113,Gweta,BW,-20.1833,25.2333,90.63,90.63,25,9.6,16,1611505077
114,Grindavik,IS,63.8424,-22.4338,28.4,28.4,74,25.32,20,1611505077
115,Bluff,NZ,-46.6,168.3333,57.0,57.0,89,11.01,71,1611505077
116,San Cristobal,VE,7.7669,-72.225,82.4,82.4,57,4.61,40,1611505077
117,Gravdal,NO,68.1214,13.5031,24.8,24.8,74,8.05,75,1611505078
118,Port Alfred,ZA,-33.5906,26.891,64.99,64.99,92,13.31,84,1611505078
119,São João da Barra,BR,-21.6403,-41.0511,87.8,87.8,48,13.8,40,1611505078
120,Esperance,AU,-33.8667,121.9,57.2,57.2,88,9.19,40,1611505078
121,Harper,LR,4.375,-7.7169,81.95,81.95,77,10.58,19,1611505078
122,Qaanaaq,GL,77.484,-69.3632,8.74,8.74,78,3.38,0,1611504912
123,Srednekolymsk,RU,67.45,153.6833,-29.22,-29.22,84,8.21,100,1611505079
124,Constitución,CL,-35.3333,-72.4167,68.61,68.61,63,5.32,51,1611505079
125,Karacabey,TR,40.2152,28.4038,50.52,50.52,79,8.08,16,1611504848
126,Kimbe,PG,-5.5502,150.1429,75.6,75.6,82,2.95,100,1611505079
127,Cherskiy,RU,68.75,161.3,-25.01,-25.01,86,7.99,100,1611505079
128,Tonekābon,IR,36.8163,50.8738,42.8,42.8,75,5.19,0,1611505080
129,Kavieng,PG,-2.5744,150.7967,81.95,81.95,76,7.43,42,1611505080
130,Avarua,CK,-21.2078,-159.775,80.6,80.6,78,11.5,20,1611504907
131,Sungai Raya,ID,0.7,108.9,77.43,77.43,86,6.46,90,1611505080
132,Nosy Varika,MG,-20.5833,48.5333,81.12,81.12,78,7.63,0,1611505081
133,Pangnirtung,CA,66.1451,-65.7125,15.39,15.39,78,3.18,70,1611505081
134,Macaúbas,BR,-13.0194,-42.6986,95.68,95.68,26,3.2,3,1611505081
135,Upington,ZA,-28.4478,21.2561,91.4,91.4,29,9.22,20,1611505081
136,Hithadhoo,MV,-0.6,73.0833,82.69,82.69,68,2.71,48,1611505081
137,Ramsgate,GB,51.3358,1.4155,36.97,39.0,83,1.99,100,1611505081
138,Barrow,US,71.2906,-156.7887,-2.2,-2.2,78,20.71,1,1611505082
139,San Rafael,AR,-34.6177,-68.3301,94.69,94.69,19,14.29,0,1611505082
140,Novochernorechenskiy,RU,56.2669,91.0828,-10.5,-10.5,90,5.06,100,1611505082
141,Chui,UY,-33.6971,-53.4616,82.36,82.36,57,9.78,42,1611505082
142,Puerto Ayora,EC,-0.7393,-90.3518,80.91,82.4,74,13.8,75,1611505082
143,Xushan,CN,30.1764,121.2457,47.16,48.0,93,4.47,90,1611505083
144,Port Elizabeth,ZA,-33.918,25.5701,68.0,68.0,77,4.61,20,1611505000
145,Onega,RU,63.9061,38.1404,34.39,34.39,98,8.55,100,1611505083
146,Fukuechō,JP,32.6881,128.8419,53.78,53.78,77,26.64,29,1611505083
147,Hare Bay,CA,48.8499,-54.0148,26.98,28.4,69,10.36,0,1611505083
148,Geraldton,AU,-28.7667,114.6,69.75,69.75,69,11.32,24,1611505084
149,Meulaboh,ID,4.1363,96.1285,79.79,79.79,78,2.17,99,1611505084
150,Viedma,AR,-40.8135,-62.9967,99.19,99.19,20,15.19,83,1611505084
151,Monaghan,IE,54.25,-6.9667,33.94,34.0,100,2.3,0,1611505084
152,Esfarāyen,IR,37.0765,57.5101,26.6,26.6,63,3.18,0,1611505084
153,Bratsk,RU,56.1325,101.6142,-2.11,-2.0,84,4.47,100,1611505055
154,Maceió,BR,-9.6658,-35.7353,84.2,84.2,61,13.8,75,1611504812
155,Severo-Kuril'sk,RU,50.6789,156.125,15.3,15.3,88,5.59,95,1611505085
156,Inhambane,MZ,-23.865,35.3833,84.09,84.2,79,16.11,40,1611505074
157,Castro,BR,-24.7911,-50.0119,71.37,71.37,85,4.03,100,1611505085
